EOL Page ID,Ancestry,Scientific Name,Common Name,Measurement,Value,Measurement URI,Value URI,Raw Value (direct from source),Raw Units (direct from source),Raw Units URI (direct from source),Statistical Method,Life Stage,Sex,Supplier,Content Partner Resource URL,Source,Measurement Remarks,Scientific Name,Contributor,Source,Measurement Method
328626,Carnivora | Caniformia | Otariidae | Arctocephalus,Arctocephalus townsendi,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328599,Carnivora | Caniformia | Procyonidae | Bassariscus,Bassariscus astutus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
1243302,Carnivora | Caniformia | Canidae | Canis | Canis lupus,Canis lupus rufus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328632,Carnivora | Caniformia | Phocidae | Cystophora,Cystophora cristata,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328583,Carnivora | Caniformia | Mustelidae | Lutrinae | Enhydra,Enhydra lutris,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328631,Carnivora | Caniformia | Phocidae | Erignathus,Erignathus barbatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,false,true,false,false
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,false,true,false,true,true
